supplier,sku_adquify,sku_supplier,name,price,stock_status,category,dimensions,materials,images,description,url,source
,ADQ-CA-D275CC6A,,,,,,,,https://casathai.es/4376-home_default/mesa-de-escritorio-duster-natural.jpg,,,scraper
,ADQ-CA-AC154835,,,,,,,,https://casathai.es/2876-home_default/mesa-extensible-nia-ceramica-grispatas-gris.jpg,,,scraper
,ADQ-CA-B0E506E8,,,,,,,,https://casathai.es/2870-home_default/mesa-extensible-nia-ceramica-antracitapatas-antracita.jpg,,,scraper
,ADQ-CA-AA79D269,,,,,,,,https://casathai.es/157-home_default/mesa-de-centro-bamboo-cristal-negro.jpg,,,scraper
,ADQ-CA-0C3D9559,,,,,,,,https://casathai.es/6280-home_default/taburete-carlin-arena.jpg,,,scraper
,ADQ-CA-00AF69C0,,,,,,,,https://casathai.es/6270-home_default/taburete-carlin-gris-oscuro.jpg,,,scraper
,ADQ-CA-C3CCD8AF,,,,,,,,https://casathai.es/6261-home_default/taburete-carlin-gris-claro.jpg,,,scraper
,ADQ-CA-DD48B617,,,,,,,,https://casathai.es/6256-home_default/taburete-tebas-arena.jpg,,,scraper
,ADQ-CA-AE018A66,,,,,,,,https://casathai.es/6246-home_default/taburete-tebas-gris-claro.jpg,,,scraper
,ADQ-CA-699BAE03,,,,,,,,https://casathai.es/6239-home_default/taburete-cosmo-arena.jpg,,,scraper
,ADQ-CA-EFC7F47F,,,,,,,,https://casathai.es/6233-home_default/taburete-cosmo-gris.jpg,,,scraper
,ADQ-CA-DBAB34E3,,,,,,,,https://casathai.es/6149-home_default/taburete-eros-blanco.jpg,,,scraper
,ADQ-CA-4DED89F6,,,,,,,,https://casathai.es/6144-home_default/taburete-eros-arena.jpg,,,scraper
,ADQ-CA-83C25A4B,,,,,,,,https://casathai.es/5971-home_default/taburete-cronos-rosa.jpg,,,scraper
,ADQ-CA-667B9E7C,,,,,,,,https://casathai.es/5965-home_default/taburete-cronos-gris.jpg,,,scraper
,ADQ-CA-55B72F35,,,,,,,,https://casathai.es/5981-home_default/taburete-cronos-gris.jpg,,,scraper
,ADQ-CA-C1FC4B47,,,,,,,,https://casathai.es/5671-home_default/taburete-crono-arena.jpg,,,scraper
,ADQ-CA-B02004BF,,,,,,,,https://casathai.es/2499-home_default/taburete-dali-patchwork.jpg,,,scraper
,ADQ-CA-6918F2B0,,,,,,,,https://casathai.es/4080-home_default/taburete-megan-gris-65.jpg,,,scraper
,ADQ-CA-7EBED8E4,,,,,,,,https://casathai.es/4084-home_default/taburete-megan-negro-65.jpg,,,scraper
,ADQ-CA-866F2DDF,,,,,,,,https://casathai.es/4087-home_default/taburete-megan-rosa-65.jpg,,,scraper
,ADQ-CA-359B9381,,,,,,,,https://casathai.es/4093-home_default/taburete-megan-agua-65.jpg,,,scraper
,ADQ-CA-484C1BA8,,,,,,,,https://casathai.es/4100-home_default/taburete-megan-beige-65.jpg,,,scraper
,ADQ-CA-93AB2B9D,,,,,,,,https://casathai.es/5698-home_default/taburete-megan-kale-75.jpg,,,scraper
,ADQ-CA-428363BA,,,,,,,,https://casathai.es/5695-home_default/taburete-megan-nude-75.jpg,,,scraper
,ADQ-CA-6F05F169,,,,,,,,https://casathai.es/5692-home_default/taburete-megan-kale-65.jpg,,,scraper
,ADQ-CA-1EA93D06,,,,,,,,https://casathai.es/5689-home_default/taburete-megan-arena-65.jpg,,,scraper
,ADQ-CA-AFA7CEFF,,,,,,,,https://casathai.es/5351-home_default/taburete-megan-arena-75.jpg,,,scraper
,ADQ-CA-F5B89EE6,,,,,,,,https://casathai.es/5346-home_default/taburete-megan-arena-65.jpg,,,scraper
,ADQ-CA-668BAE99,,,,,,,,https://casathai.es/5330-home_default/taburete-dali-cobalto.jpg,,,scraper
,ADQ-CA-1FC3C1B2,,,,,,,,https://casathai.es/5325-home_default/taburete-dali-mostaza.jpg,,,scraper
,ADQ-CA-A2E8D0AA,,,,,,,,https://casathai.es/5206-home_default/taburete-capi-tejido-blanco-envejecido.jpg,,,scraper
,ADQ-CA-B398E712,,,,,,,,https://casathai.es/5117-home_default/taburete-capi-textil-marron-pata-negra.jpg,,,scraper
,ADQ-CA-6E81EEE6,,,,,,,,https://casathai.es/5112-home_default/taburete-capi-textil-antracita-pata-negra.jpg,,,scraper
,ADQ-CA-97407C20,,,,,,,,https://casathai.es/5107-home_default/taburete-capi-textil-gris-pata-negra.jpg,,,scraper
,ADQ-CA-7C438B2F,,,,,,,,https://casathai.es/2219-home_default/taburete-dali-gris.jpg,,,scraper
,ADQ-CA-C4B91D17,,,,,,,,https://casathai.es/1789-home_default/taburete-dali.jpg,,,scraper
,ADQ-CA-F5FEDF9A,,,,,,,,https://casathai.es/2243-home_default/taburete-dali-arena.jpg,,,scraper
,ADQ-CA-04010043,,,,,,,,https://casathai.es/2189-home_default/taburete-dali-negro.jpg,,,scraper
,ADQ-CA-273A3AA2,,,,,,,,https://casathai.es/2248-home_default/taburete-dali-aguamarina.jpg,,,scraper
,ADQ-CA-EF282938,,,,,,,,https://casathai.es/3732-home_default/taburete-dali-verde-kale.jpg,,,scraper
,ADQ-CA-FF455824,,,,,,,,https://casathai.es/1800-home_default/taburete-volt-blanco-desgastado.jpg,,,scraper
,ADQ-CA-41BB05BA,,,,,,,,https://casathai.es/3638-home_default/taburete-volt-chocolate-madera.jpg,,,scraper
,ADQ-CA-E70DDBC4,,,,,,,,https://casathai.es/4841-home_default/taburete-volt-blanco-madera.jpg,,,scraper
,ADQ-CA-312E319C,,,,,,,,https://casathai.es/1928-home_default/taburete-volt-amarillo.jpg,,,scraper
,ADQ-CA-1A3AFE45,,,,,,,,https://casathai.es/1797-home_default/taburete-volt-negro.jpg,,,scraper
,ADQ-CA-B5346ED1,,,,,,,,https://casathai.es/1795-home_default/taburete-volt-blanco.jpg,,,scraper
,ADQ-CA-582CA19E,,,,,,,,https://casathai.es/1931-home_default/taburete-volt-azul.jpg,,,scraper
,ADQ-CA-13863296,,,,,,,,https://casathai.es/2358-home_default/taburete-alto-volt-natural.jpg,,,scraper
,ADQ-CA-DCA82641,,,,,,,,https://casathai.es/2361-home_default/taburete-alto-volt-blanco-envejecido.jpg,,,scraper
,ADQ-CA-0FB6E060,,,,,,,,https://casathai.es/2352-home_default/taburete-alto-volt-blanco.jpg,,,scraper
,ADQ-CA-ABEAAC54,,,,,,,,https://casathai.es/2355-home_default/taburete-alto-volt-negro.jpg,,,scraper
,ADQ-CA-5E70817E,,,,,,,,https://casathai.es/3053-home_default/taburete-alpha-vintage-gris.jpg,,,scraper
,ADQ-CA-6A5C6F75,,,,,,,,https://casathai.es/3048-home_default/taburete-alpha-vintage-marron.jpg,,,scraper
,ADQ-CA-507E9017,,,,,,,,https://casathai.es/2524-home_default/sillon-taburete-patchwork.jpg,,,scraper
,ADQ-CA-308002B2,,,,,,,,https://casathai.es/2423-home_default/sillon-taburete-dali-gris.jpg,,,scraper
,ADQ-CA-19517FA6,,,,,,,,https://casathai.es/2527-home_default/sillon-taburte-dali-rojo.jpg,,,scraper
,ADQ-CA-AD07C235,,,,,,,,https://casathai.es/2989-home_default/sillon-taburete-dali-agua.jpg,,,scraper
,ADQ-CA-DBE38D77,,,,,,,,https://casathai.es/3479-home_default/taburete-capi-capuccino.jpg,,,scraper
,ADQ-CA-56D54D3B,,,,,,,,https://casathai.es/2590-home_default/taburete-capi-negro.jpg,,,scraper
